Work date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Page name,Designer,Status,Start work,End work,Break/Fix,Note,,,,,,,
02/11/2015,2,teppanyaki-kayama,new,1,8,8,index,NhaNTT,mail:done,08:30,17:30,1:00,,,,,,,,
03/11/2015,2,teppanyaki-kayama,new,1,5,8,welcome,NhaNTT,mail:done,08:30,17:30,1:00,,,,,,,,
04/11/2015,2,teppanyaki-kayama,new,1,5,6,menu,NhaNTT,mail:done,08:30,15:30,1:00,,,,,,,,
04/11/2015,2,teppanyaki-kayama,new,1,3,2,drink,NhaNTT,mail:done,15:30,17:30,0,,,,,,,,
05/11/2015,2,teppanyaki-kayama,new,1,0,2.25,drink,NhaNTT,mail:done,09:45,12:00,0,,,,,,,,
05/11/2015,2,teppanyaki-kayama,new,1,2,2,shopinfo,NhaNTT,mail:done,13:00,15:00,,,,,,,,,
05/11/2015,2,teppanyaki-kayama,new,1,2,2.5,access,NhaNTT,mail:done,15:00,17:30,00:00,,,,,,,,
06/11/2015,2,teppanyaki-kayama,new,1,0,1.5,access,NhaNTT,mail:done,08:30,10:00,00:00,,,,,,,,
06/11/2015,2,teppanyaki-kayama,new,1,4,5,english,NhaNTT,mail:done,10:00,16:00,01:00,,,,,,,,
06/11/2015,2,teppanyaki-kayama,new,1,2,1.5,check allpage,NhaNTT,mail:done,16:00,17:30,,,,,,,,,
09/11/2015,2,teppanyaki-kayama,new,1,0,1,check allpage,NhaNTT,mail:done,16:00,17:00,,,,,,,,,
02/11/2015,3,ennichi,new,1,8,7.5,index,ThanhNLY,mail:done,09:00,17:30,1:00,,,,,,,,
03/11/2015,3,ennichi,new,1,0,1.5,index,ThanhNLY,mail:done,08:30,10:00,,,,,,,,,
03/11/2015,3,ennichi,new,1,4,6.5,party,ThanhNLY,mail:done,10:00,17:30,1:00,,,,,,,,
04/11/2015,3,ennichi,new,1,5,7.5,concept,ThanhNLY,mail:done,09:00,17:30,1:00,,,,,,,,
05/11/2015,3,ennichi,new,1,5,6.5,kushikatu,ThanhNLY,mail:done,09:00,16:30,1:00,,,,,,,,
05/11/2015,3,ennichi,new,1,3,1,access,ThanhNLY,mail:done,16:30,17:30,,,,,,,,,
06/11/2015,12,torikichi,fix,-,2,2,fix,LinhKT,work:done,08:30,10:30,,order tháng 10,,,,,,,
06/11/2015,3,ennichi,new,1,0,3.5,access,ThanhNLY,work:done,08:30,12:00,,,,,,,,,
06/11/2015,3,ennichi,new,1,3,4,beginner,ThanhNLY,work:done,13:00,17:00,,,,,,,,,
02/11/2015,1,??????,new,7,5,8,index.html,VanVTK,mail:done,08:30,17:30,1:00,,,,,,,,
03/11/2015,1,??????,new,7,3,3.5,secret.html,VanVTK,mail:done,08:30,12:00,,,,,,,,,
03/11/2015,1,??????,new,7,2,2.5,access.html,VanVTK,mail:done,13:00,15:30,,,,,,,,,
04/11/2015,1,??????,new,7,4,8,dinner.html,VanVTK,mail:done,08:30,17:30,1:00,,,,,,,,
05/11/2015,1,??????,new,7,4,8,party.html,VanVTK,mail:done,08:30,17:30,1:00,,,,,,,,
06/11/2015,1,??????,new,7,8,8,drink.html + Fix,VanVTK,mail:done,08:30,17:30,1:00,Fix access +dinner+party,,,,,,,
09/11/2015,1,??????,new,7,0,5,Fix all pages,VanVTK,mail:done,08:30,14:30,1:00,Fix all pages,,,,,,,
02/11/2015,7,td-move,new,10,8,7,wedding,NgocTT,work:done,09:00,17:00,1:00,,,,,,,,
03/11/2015,7,td-move,new,10,4,4.75,course,NgocTT,work:done,08:45,14:30,1:00,,,,,,,,
03/11/2015,7,td-move,new,10,3,3,philosophy,NgocTT,work:done,14:30,17:30,,,,,,,,,
04/11/2015,7,td-move,new,10,4,4.25,philosophy,NgocTT,work:done,08:45,14:00,1:00,,,,,,,,
04/11/2015,7,td-move,new,10,4,3.5,drink,NgocTT,work:done,14:00,17:30,,,,,,,,,
05/11/2015,7,td-move,new,10,3,2,drink,NgocTT,work:done,08:45,10:45,,,,,,,,,
05/11/2015,7,td-move,new,10,4,4.5,menu,NgocTT,work:done,10:45,16:15,01:00,,,,,,,,
11/6/2015,7,td-move,new,10,2,2.25,menu,NgocTT,work:done,08:45,11:00,,,,,,,,,
06/11/2015,7,td-move,new,10,3,4.5,lunch,NgocTT,work:done,11:00,16:30,01:00,,,,,,,,
09/11/2015,7,td-move,new,10,4,3.75,recruit,NgocTT,work:done,08:45,13:30,01:00,,,,,,,,
09/11/2015,7,td-move,new,10,2,1.5,mailform,NgocTT,work:done,13:30,15:00,,,,,,,,,
09/11/2015,7,td-move,new,10,5,2.5,check,NgocTT,work:done,15:00,17:30,,,,,,,,,
